CT1,5000-kW x1,10000-kW x1,,
CT2,2500-kW x1,10000-kW x1,,
CT3,1700-kW x1,10000-kW x1,,
CT4,1700-kW x1,10000-kW x2,,
CT5,1700-kW x1,2500-kW x1,5000-kW x1,
CT6,2500-kW x1,5000-kW x1,10000-kW x1,
CT7,1000-kW x1,5000-kW x1,10000-kW x2,
CT8,800-kW x1,5000-kW x1,,
CT9,10000-kW x2,,,
CT10,1000-kW x1,10000-kW x3,,
CT11,1700-kW x1,10000-kW x2,,
CT12,1700-kW x1,5000-kW x1,10000-kW x1,
CT13,800-kW x1,2500-kW x1,5000-kW x1,
CT14,10000-kW x3,,,
CT15,300-kW x1,10000-kW x3,,
CT16,1700-kW x1,2500-kW x1,10000-kW x1,
CT17,400-kW x1,1700-kW x1,5000-kW x1,
CT18,300-kW x1,1700-kW x1,5000-kW x1,
CT19,200-kW x1,2500-kW x1,5000-kW x1,10000-kW x1
CT20,5000-kW x1,10000-kW x3,,
CT21,5000-kW x1,10000-kW x1,,
CT22,1700-kW x1,2500-kW x1,5000-kW x1,10000-kW x1
CT23,1700-kW x1,2500-kW x1,5000-kW x1,10000-kW x1
CT24,5000-kW x1,10000-kW x2,,
CT25,2500-kW x1,5000-kW x1,,
CT26,1700-kW x1,10000-kW x1,,
CT27,2500-kW x1,5000-kW x1,10000-kW x1,
CT28,2500-kW x1,10000-kW x2,,
CT29,200-kW x1,2500-kW x1,,
CT30,200-kW x1,1000-kW x1,,
CT31,100-kW x1,800-kW x1,,
CT32,150-kW x1,1000-kW x1,,
CT33,400-kW x1,2500-kW x1,10000-kW x2,
CT34,5000-kW x1,10000-kW x2,,
CT35,1000-kW x1,2500-kW x1,5000-kW x1,10000-kW x1
CT36,500-kW x1,1700-kW x1,2500-kW x1,
CT37,1000-kW x1,5000-kW x1,10000-kW x1,
CT38,800-kW x1,5000-kW x1,10000-kW x1,
CT39,2500-kW x1,10000-kW x1,,
CT40,150-kW x1,5000-kW x1,,
CT41,300-kW x1,10000-kW x2,,
CT42,2500-kW x1,10000-kW x2,,
