Capacity [kW],HWT [°C],CWT [°C],WBT [°C],approach [C°],range [C°],water flow [kg/s],air flow [kg/s],L/G,evap loss [%],Fan diameter [m],CT perf slope,CT perf y-int,Min Range [C°],Max per unit water flow,Min per unit water flow,Fan area [m2],groups,ID
100.0,38.0,32.8,29.7340082748869,3.06599172511308,5.2,4.5962641564936,2.27724009612568,2.0183485106877,0.782233574742552,0.9,0.647737354589171,13.5401721386922,4.0,1.2,0.2,0.636172512351933,G16,CT0
100.0,38.0,32.8,29.7340082748869,3.06599172511308,5.2,4.5962641564936,2.27724009612568,2.0183485106877,0.782233574742552,0.9,0.647737354589171,13.5401721386922,4.0,1.2,0.2,0.636172512351933,G16,CT1
100.0,38.0,32.8,29.7340082748869,3.06599172511308,5.2,4.5962641564936,2.27724009612568,2.0183485106877,0.782233574742552,0.9,0.647737354589171,13.5401721386922,4.0,1.2,0.2,0.636172512351933,G16,CT2
5000.0,38.0,32.8,29.7340082748869,3.06599172511308,5.2,229.813207824679,113.862004806284,2.0183485106877,0.782233574742552,4.8,0.647737354589171,13.5401721386922,4.0,1.2,0.2,18.0955736846772,G17,CT3
10000.0,38.0,32.8,29.7340082748869,3.06599172511308,5.2,459.626415649359,227.724009612568,2.0183485106877,0.782233574742552,6.58,0.647737354589171,13.5401721386922,4.0,1.2,0.2,34.0049130417212,G17,CT4
5000.0,38.0,32.8,29.7340082748869,3.06599172511308,5.2,229.813207824679,113.862004806284,2.0183485106877,0.782233574742552,4.8,0.647737354589171,13.5401721386922,4.0,1.2,0.2,18.0955736846772,G17,CT5
1700.0,38.0,32.8,29.7340082748869,3.06599172511308,5.2,78.1364906603912,38.7130816341365,2.0183485106877,0.782233574742552,3.4,0.647737354589171,13.5401721386922,4.0,1.2,0.2,9.0792027688745,G18,CT6
1000.0,38.0,32.8,29.7340082748869,3.06599172511308,5.2,45.962641564936,22.7724009612568,2.0183485106877,0.782233574742552,2.2,0.647737354589171,13.5401721386922,4.0,1.2,0.2,3.80132711084365,G18,CT7
800.0,38.0,32.8,29.7340082748869,3.06599172511308,5.2,36.7701132519488,18.2179207690054,2.0183485106877,0.782233574742552,2.2,0.647737354589171,13.5401721386922,4.0,1.2,0.2,3.80132711084365,G18,CT8
